scientific_name,taxid,dir_name,genome_flag
Acidiphilium cryptum JF-5,349163,Acidiphilium_cryptum_JF-5,0
Actinosynnema mirum DSM 43827,446462,Actinosynnema_mirum_DSM_43827,1
Anabaena variabilis,1172,Anabaena_variabilis,0
Anaeromyxobacter dehalogenans,161493,Anaeromyxobacter_dehalogenans,0
Anaplasma phagocytophilum,948,Anaplasma_phagocytophilium,0
Arthrobacter sp. FB24,290399,Arthrobacter_sp_FB24,1
Bacillus anthracis str. Ames,198094,Bacillus_anthracis_Ames,0
Bacillus anthracis str. Sterne,260799,Bacillus_anthracis_Sterne,0
Bacillus subtilis subsp. subtilis str. 168,224308,Bacillus_subtilis_168,0
Bartonella henselae str. Houston-1,283166,Bartonella_henselae_Houston-1,1
Borrelia burgdorferi B31,224326,Borrelia_burdorferi_B31,0
Brachybacterium faecium DSM 4810,446465,Brachybacterium_faecium_DSM_4810,0
Burkholderia mallei,13373,Burkholderia_mallei,0
Candidatus Chloracidobacterium thermophilum,458033,Candidatus_chloracidobacterium_thermophilum,0
Caulobacter crescentus CB15,190650,Caulobacter_crescentus_CB15,0
Cellulomonas flavigena DSM 20109,446466,Cellulomonas_flavigena_DSM_20109,1
Cenarchaeum symbiosum,46770,Cenarchaeum_symbiosum,0
Chlorobaculum tepidum,1097,Chlorobaculum_tepidum_WT,0
Chloroflexus aurantiacus,1108,Chloroflexus_aurantiacus,0
Clostridium thermocellum,1515,Clostridium_thermocellum,0
Cryptobacterium curtum DSM 15641,469378,Cryptobacterium_curtum_DSM_15641,1
Synechocystis sp. PCC 6803,1148,Cyanobacterium_synechocystis_PCC6803,1
Cyanothece sp. ATCC 51142,43989,Cyanothece_sp_ATCC51142,1
Cyanothece sp. ATCC 51472,860575,Cyanothece_strain_ATCC51472,0
Cyanothece sp. PCC 7424,65393,Cyanothece_strain_PCC7424,1
Cyanothece sp. PCC 7425,395961,Cyanothece_strain_PCC7425,1
Cyanothece sp. PCC 7822,497965,Cyanothece_strain_PCC7822,1
Cyanothece sp. PCC 8801,41431,Cyanothece_strain_PCC8801,1
Cyanothece sp. PCC 8802,395962,Cyanothece_strain_PCC8802,0
Dehalococcoides ethenogenes 195,243164,Dehalococcoides_ethenogenes,1
Deinococcus radiodurans R1,243230,Deinococcus_radiodurans_R1,0
delta proteobacterium NaphS2,88274,Delta_proteobacterium_NaphS2,0
Desulfovibrio desulfuricans,876,Desulfovibrio_desulfuricans_G20,0
Desulfovibrio desulfuricans ND132,641491,Desulfovibrio_sp_ND132,1
Desulfovibrio vulgaris str. Hildenborough,882,Desulfovibrio_vulgaris_Hildenborough,0
Dethiosulfovibrio peptidovorans DSM 11002,469381,Dethiosulfovibrio_peptidovorans_DSM_11002,0
Ehrlichia chaffeensis,945,Ehrlichia_chaffeensis,0
Enterobacter cloacae SCF1,701347,Enterobacter_cloacae_SCF1,1
Escherichia coli BL21,511693,Escherichia_coli_BL21,0
Escherichia coli str. K-12 substr. MG1655,511145,Escherichia_coli_K-12,0
escherichia coli rk4353,,Escherichia_coli_RK4353,0
Fibrobacter succinogenes subsp. succinogenes S85,59374,Fibrobacter_succinogenes_S85,1
Geobacter bemidjiensis Bem,404380,Geobacter_bemidjiensis_Bem_T,1
Geobacter metallireducens GS-15,269799,Geobacter_metallireducens_GS-15,1
Geobacter sulfurreducens PCA,243231,Geobacter_sulfurreducens_PCA,0
Geobacter uraniireducens,351604,Geobacter_uraniumreducens,0
Haloferax volcanii,2246,Haloferax_volcanii,0
Halogeometricum borinquense DSM 11551,469382,Halogeometricum_borinquense_DSM_11551,1
Halorhabdus utahensis DSM 12940,519442,Halorhabdus_utahensis_DSM_12940,1
Heliobacterium modesticaldum,35701,Heliobacterium_modesticaldum,0
Kineococcus radiotolerans SRS30216,266940,Kineococcus_radiotolerans_SRS30216,1
Kosmotoga olearia TBF 19.5.1,521045,Kosmotoga_olearia_TBF_19-5-1,1
Methanosarcina barkeri,2208,Methanosarcina_barkeri,0
Methanospirillum hungatei JF-1,323259,Methanospirillum_hungatei_JF-1,1
Methylophilales bacterium HTCC2181,383631,Methylophilales_HTCC2181,0
Mycobacterium tuberculosis H37Rv,83332,Mycobacterium_tuberculosis,0
Nakamurella multipartita DSM 44233,479431,Nakamurella_multipartita_DSM_44233,1
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,446468,Nocardiopsis_dassonvillei_DSM_43111,1
Novosphingobium aromaticivorans,48935,Novosphingobium_aromaticivorans_F199,0
Diplosphaera colitermitum TAV2,278957,Opitutaceae_bacterium_TAV2,0
Candidatus Pelagibacter ubique HTCC1062,335992,Pelagibacter_ubique_HTC1062,1
