Organism,Sample,Dataset,Instrument,Separation Type,Type,Acquisition Start,Acquisition End,Scan Count,Acq Length,param_num
Arthrobacter_sp_FB24,Arthro_008,Arthro_008-LTQFT2_04Oct05_Andro_0705-06,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/4/2005 7:15 AM,10/4/2005 8:55 AM,14693,100,0
Arthrobacter_sp_FB24,Arthro_004,Arthro_004-LTQFT3_30Sep05_Andro_0705-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/1/2005 11:25 AM,10/1/2005 1:05 PM,14582,100,0
Arthrobacter_sp_FB24,Arthro_010,Arthro_010-LTQFT1_04Oct05_Andro_0705-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/4/2005 7:34 PM,10/4/2005 9:14 PM,13929,100,0
Arthrobacter_sp_FB24,Arthro_003,Arthro_003_LTQFT3_27Oct05_Griffin_05-09-04,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/28/2005 10:53 AM,10/28/2005 12:33 PM,15610,100,0
Arthrobacter_sp_FB24,Arthro_012,Arthro_012-LTQFT2_05Oct05_Andro_0705-06,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/5/2005 12:40 PM,10/5/2005 2:20 PM,14209,100,0
Arthrobacter_sp_FB24,Arthro_001,Arthro_001-LTQFT1_28Sep05_Andro_0705-06,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,9/28/2005 7:43 AM,9/28/2005 9:23 AM,14120,100,0
Arthrobacter_sp_FB24,Arthro_006,Arthro_006-LTQFT3_30Sep05_Andro_0705-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/2/2005 4:30 PM,10/2/2005 6:10 PM,14861,100,0
Arthrobacter_sp_FB24,Arthro_005,Arthro_005-LTQFT3_30Sep05_Andro_0705-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/2/2005 1:49 AM,10/2/2005 3:29 AM,15360,100,0
Arthrobacter_sp_FB24,Arthro_001,Arthro_001-LTQFT2_28Sep05_Andro_0705-06,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,9/28/2005 12:16 PM,9/28/2005 1:56 PM,13748,100,0
Arthrobacter_sp_FB24,Arthro_008,Arthro_008-LTQFT3_04Oct05_Andro_0705-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,10/4/2005 9:40 AM,10/4/2005 11:20 AM,14860,100,0
Bartonella_henselae_Houston-1,Bhens_TM_01_IP_Total,Bhens_TM_01_total_111107165607,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-CID/ETD-HMSn,11/7/2011 4:56 PM,11/7/2011 10:46 PM,4539,350,1
Bartonella_henselae_Houston-1,Bhens_IM_02_IP_L30K,bhens_L30k_IM_02,VOrbiETD04,LC-Waters-IntactProtein_200min,HMS-HMSn,11/29/2011 12:52 AM,11/29/2011 7:02 AM,6686,370,1
Bartonella_henselae_Houston-1,Bhens_OM_01_07,Bhens_OM_01_07_18Sep12_Earth_12-04-15,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,9/19/2012 7:33 AM,9/19/2012 9:12 AM,28543,99,0
Bartonella_henselae_Houston-1,Bhens_TM_02_IP_Total,Bhens_TM_02_total_111108123242,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-CID/ETD-HMSn,11/8/2011 12:32 PM,11/8/2011 6:22 PM,4512,350,1
Bartonella_henselae_Houston-1,Bhens_Cyt_02_13,Bhens_Cyt_02_13_Ahrens_07Oct11_Lynx_11-09-28,VOrbiETD03,LC-Agilent-2D-Formic,HMS-HCD-HMSn,10/8/2011 9:41 AM,10/8/2011 11:20 AM,7200,99,1
Bartonella_henselae_Houston-1,Bhens_OM_01_10,Bhens_OM_01_10_12Sep12_Earth_12-04-15,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,9/13/2012 12:43 AM,9/13/2012 2:22 AM,26620,99,0
Bartonella_henselae_Houston-1,Bhens_OM_01_20,Bhens_OM_01_20_12Sep12_Earth_12-04-17,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,9/14/2012 2:23 PM,9/14/2012 4:03 PM,26781,100,0
