scientific_name,tax_id,dir_name
Acidiphilium cryptum JF-5,349163,Acidiphilium_cryptum_JF-5
Actinosynnema mirum DSM 43827,446462,Actinosynnema_mirum_DSM_43827
Anabaena variabilis,1172,Anabaena_variabilis
Anaeromyxobacter dehalogenans,161493,Anaeromyxobacter_dehalogenans
Anaplasma phagocytophilum,948,Anaplasma_phagocytophilium
Arthrobacter sp. FB24,290399,Arthrobacter_sp_FB24
Bacillus anthracis str. Ames,198094,Bacillus_anthracis_Ames
Bacillus anthracis str. Sterne,260799,Bacillus_anthracis_Sterne
Bacillus subtilis subsp. subtilis str. 168,224308,Bacillus_subtilis_168
Bartonella henselae str. Houston-1,283166,Bartonella_henselae_Houston-1
Borrelia burgdorferi B31,224326,Borrelia_burdorferi_B31
Brachybacterium faecium DSM 4810,446465,Brachybacterium_faecium_DSM_4810
Burkholderia mallei,13373,Burkholderia_mallei
Candidatus Chloracidobacterium thermophilum,458033,Candidatus_chloracidobacterium_thermophilum
Caulobacter crescentus CB15,190650,Caulobacter_crescentus_CB15
Cellulomonas flavigena DSM 20109,446466,Cellulomonas_flavigena_DSM_20109
Cenarchaeum symbiosum,46770,Cenarchaeum_symbiosum
Chlorobaculum tepidum,1097,Chlorobaculum_tepidum_WT
Chloroflexus aurantiacus,1108,Chloroflexus_aurantiacus
Clostridium thermocellum,1515,Clostridium_thermocellum
Cryptobacterium curtum DSM 15641,469378,Cryptobacterium_curtum_DSM_15641
Synechocystis sp. PCC 6803,1148,Cyanobacterium_synechocystis_PCC6803
Cyanothece sp. ATCC 51142,43989,Cyanothece_sp_ATCC51142
Cyanothece sp. ATCC 51472,860575,Cyanothece_strain_ATCC51472
Cyanothece sp. PCC 7424,65393,Cyanothece_strain_PCC7424
Cyanothece sp. PCC 7425,395961,Cyanothece_strain_PCC7425
Cyanothece sp. PCC 7822,497965,Cyanothece_strain_PCC7822
Cyanothece sp. PCC 8801,41431,Cyanothece_strain_PCC8801
Cyanothece sp. PCC 8802,395962,Cyanothece_strain_PCC8802
Dehalococcoides ethenogenes 195,243164,Dehalococcoides_ethenogenes
Deinococcus radiodurans R1,243230,Deinococcus_radiodurans_R1
delta proteobacterium NaphS2,88274,Delta_proteobacterium_NaphS2
Desulfovibrio desulfuricans,876,Desulfovibrio_desulfuricans_G20
Desulfovibrio desulfuricans ND132,641491,Desulfovibrio_sp_ND132
Desulfovibrio vulgaris str. Hildenborough,882,Desulfovibrio_vulgaris_Hildenborough
Dethiosulfovibrio peptidovorans DSM 11002,469381,Dethiosulfovibrio_peptidovorans_DSM_11002
Ehrlichia chaffeensis,945,Ehrlichia_chaffeensis
Enterobacter cloacae SCF1,701347,Enterobacter_cloacae_SCF1
Escherichia coli BL21,511693,Escherichia_coli_BL21
Escherichia coli str. K-12 substr. MG1655,511145,Escherichia_coli_K-12
escherichia coli rk4353,,Escherichia_coli_RK4353
Fibrobacter succinogenes subsp. succinogenes S85,59374,Fibrobacter_succinogenes_S85
Geobacter bemidjiensis Bem,404380,Geobacter_bemidjiensis_Bem_T
Geobacter metallireducens GS-15,269799,Geobacter_metallireducens_GS-15
Geobacter sulfurreducens PCA,243231,Geobacter_sulfurreducens_PCA
Geobacter uraniireducens,351604,Geobacter_uraniumreducens
Haloferax volcanii,2246,Haloferax_volcanii
Halogeometricum borinquense DSM 11551,469382,Halogeometricum_borinquense_DSM_11551
Halorhabdus utahensis DSM 12940,519442,Halorhabdus_utahensis_DSM_12940
Heliobacterium modesticaldum,35701,Heliobacterium_modesticaldum
Kineococcus radiotolerans SRS30216,266940,Kineococcus_radiotolerans_SRS30216
Kosmotoga olearia TBF 19.5.1,521045,Kosmotoga_olearia_TBF_19-5-1
Methanosarcina barkeri,2208,Methanosarcina_barkeri
Methanospirillum hungatei JF-1,323259,Methanospirillum_hungatei_JF-1
Methylophilales bacterium HTCC2181,383631,Methylophilales_HTCC2181
Mycobacterium tuberculosis H37Rv,83332,Mycobacterium_tuberculosis
Nakamurella multipartita DSM 44233,479431,Nakamurella_multipartita_DSM_44233
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,446468,Nocardiopsis_dassonvillei_DSM_43111
Novosphingobium aromaticivorans,48935,Novosphingobium_aromaticivorans_F199
Diplosphaera colitermitum TAV2,278957,Opitutaceae_bacterium_TAV2
Candidatus Pelagibacter ubique HTCC1062,335992,Pelagibacter_ubique_HTC1062
